Source,Date,Link
Spanky's Quest,1992,https://www.youtube.com/watch?v=3L_03gGb5SAhttps://www.youtube.com/watch?v=T2UiQ-DzCB4
Heiankyo Alien,1979,https://www.youtube.com/watch?v=cZC2JTKBrKA
Magical Drop 2,1996,https://www.youtube.com/watch?v=hSDJDOn6Oc8
Magical Drop III,1997,https://www.youtube.com/watch?v=-ziktK8TFmk
Daytona USA,1994,https://www.youtube.com/watch?v=igpOzhAkKhw
The House of the Dead,1998,https://www.youtube.com/watch?v=wJp_yaMTPCg
Sub-Terrania,1994,https://www.youtube.com/watch?v=8PiheZZ7cuo
The Adventures of Batman and Robin,1995,https://www.youtube.com/watch?v=FA2pCqpfAkM
AWS Pro Moves Soccer,1993,https://www.youtube.com/watch?v=eXnnjOBUJbs
Red Zone,1994,https://www.youtube.com/watch?v=eqGzxUIpoPU
Solstice,1990,https://www.youtube.com/watch?v=ypNPxwnppU0
Donkey Kong Country,1994,https://www.youtube.com/watch?v=wAPpVplHiDE
Donkey Kong Country 2 : Diddy's Kong Quest,1995,https://www.youtube.com/watch?v=CaMcOo-k23U
Donkey Kong Country 3 : Dixie Kong's Double Trouble !,1996,https://youtu.be/CsKv9sJ4BVE?list=PL3F37BC9E9A5DC61D
Duke Nukem 3D,1996,https://www.youtube.com/watch?v=5RH2_9ah7pk
Earthworm Jim,1994,https://www.youtube.com/watch?v=ZqbzRwrZZ5k
Earthworm Jim 2,1995,https://www.youtube.com/watch?v=H7DZ5Utuq58
Shadowrun,1993,https://www.youtube.com/watch?v=xHmLVjnEjYs
The Last Ninja,1987,https://www.youtube.com/watch?v=1s-DkTmXyWM
Time Trax,,https://www.youtube.com/watch?v=GqyEbu8cmMg
Command & Conquer,1995,https://www.youtube.com/watch?v=I0VPxe1NuJI
Command & Conquer : Alerte Rouge,1996,https://www.youtube.com/watch?v=Tb-gI_pFog0
Global Gladiators,1992,https://www.youtube.com/watch?v=HcKAX7aYlz4
ToeJam & Earl,1991,https://www.youtube.com/watch?v=301acFz0a_A
Dune,1992,https://www.youtube.com/watch?v=mcFIeRIhg54
Dune II : La Bataille d'Arrakis,1992,https://www.youtube.com/watch?v=flZDPouWtsg
Dune 2000,1998,https://www.youtube.com/watch?v=bQ2mUSz-8W0
CheetahMen II,1993,https://www.youtube.com/watch?v=BkmbbZZOgKg
Little Big Adventure,1994,https://www.youtube.com/watch?v=_QECdKDMYIo
The Neverhood,1996,https://www.youtube.com/watch?v=Wh4WnHlsbvM
Tempest 2000,1996,https://www.youtube.com/watch?v=Kx9cuKG_B9Q
One Must Fall : 2097,1994,https://www.youtube.com/watch?v=i0FNUDLdT4A
Agony,1992,https://www.youtube.com/watch?v=X9UTnUcyED0
Road Rash,1991,https://www.youtube.com/watch?v=vcs9-nIIO0Y
Road Rash II,1992,http://www.youtube.com/watch?v=8_BUH1ew0ro
Road Rash 3,1995,https://www.youtube.com/watch?v=Pk5vvPZyYCc
One Man and his Droid,,https://www.youtube.com/watch?v=D9CwsOOjNAo
Thing on a Spring,,https://www.youtube.com/watch?v=mmmEBO2lDVI
Sanxion,1986,https://www.youtube.com/watch?v=It7yJh-NwPY
Delta Force,1998,https://www.youtube.com/watch?v=9jtMpJXKXFQ
Bionic Commando,1988,https://www.youtube.com/watch?v=ekHoW0L4vG8
Barbarian: The Ultimate Warrior,1987,https://www.youtube.com/watch?v=m_1miUy9TeQ
Monty on the Run,,https://www.youtube.com/watch?v=93nIljXpqUY
Battle Squadron,1989,https://www.youtube.com/watch?v=q-Z1gPLIY3Uhttps://www.youtube.com/watch?v=UNsURWo8C34
IK+,1987,https://www.youtube.com/watch?v=ROtV_XPPfw8
Comic Bakery,1984,https://www.youtube.com/watch?v=rfhcLIlCWJE
Budokan : The Martial Spirit,1990,https://www.youtube.com/watch?v=O6RnR2bGkIU
Cosmocats,1987,https://www.youtube.com/watch?v=gEU8XYBwN78
Skate or Die 2 : The Search for Double Trouble,1990,https://www.youtube.com/watch?v=X8TmIxHSBcU
Realms of Arkania : Star Trail,1994,https://www.youtube.com/watch?v=5my0MjmtaH8
The Lord of the Rings : Volume 1,1990,https://www.youtube.com/watch?v=8MjJFAjIH3I
Quake,1996,https://www.youtube.com/watch?v=Mv5Jvr2Fp48
Quake II,1997,https://www.youtube.com/watch?v=IpndTkxFkVY
Ishar,1992,https://www.youtube.com/watch?v=bM_9BBQpQVo
Ishar 2,1993,https://www.youtube.com/watch?v=w6QUbkvSunQ
Might and Magic VI : Le Mandat céleste,1998,http://www.youtube.com/watch?v=o1oGhfle1bE
Maniac Mansion,1987,https://www.youtube.com/watch?v=3WsFRWuFBuk
The Secret of Monkey Island,1990,https://www.youtube.com/watch?v=G7fRA_ep5Dw
Day of the Tentacle,1993,https://www.youtube.com/watch?v=66fgB8g4zPc
Sam & Max Hit the Road,1993,https://www.youtube.com/watch?v=d353oFK-WKo
Full Throttle,1995,https://www.youtube.com/watch?v=doP8gF2rais
Desert Strike : Return to the Gulf,1992,https://www.youtube.com/watch?v=HnkXaLmYG34
Nuclear Strike,1997,https://www.youtube.com/watch?v=1VrCnkdjIbo
Wolfchild,1993,https://www.youtube.com/watch?v=XOnCICoRzfQ
Bram Stoker's Dracula,1993,https://www.youtube.com/watch?v=hH9peWVAEoc
Badlands,1990,https://www.youtube.com/watch?v=iUkAhI0xnCo
Earnest Evans,1992,https://www.youtube.com/watch?v=AMTgXQ6lRRA
Eliminate Down,1993,https://www.youtube.com/watch?v=trnhyIhBBHY
Gaiares,1990,https://www.youtube.com/watch?v=LJDM4vCYZpw
Verytex,,https://www.youtube.com/watch?v=8KfPM8xJWgM
Resident Evil,1996,https://www.youtube.com/watch?v=7LA5ia-uuIU
Resident Evil 2,1998,https://www.youtube.com/watch?v=lXUTz1Mn7gU
Pop'n TwinBee,1993,https://www.youtube.com/watch?v=pi9anAi327Q
Pop'n TwinBee : Rainbow Bell Adventures,1994,https://www.youtube.com/watch?v=ICAmZYlyEOc
Detana Twinbee Yahoo-! Deluxe Pack,,https://www.youtube.com/watch?v=JRU6BqcQtzM
Zarathrusta,1991,https://www.youtube.com/watch?v=3UjL019V8Ts
Alien 3,1992,https://www.youtube.com/watch?v=Zwn3uE3zZa8
John Madden American Football,1990,https://www.youtube.com/watch?v=0zzVBPFdzMo
The Second Samurai,1994,https://www.youtube.com/watch?v=kHFcDgTW0m8
Predator 2,1992,https://www.youtube.com/watch?v=kHFcDgTW0m8
Mighty Max,1994,https://www.youtube.com/watch?v=hghVBQfEJ7g
Chuck Rock,1991,https://www.youtube.com/watch?v=lkm2oFz9pAU
Boogerman,1994,https://www.youtube.com/watch?v=7Yo69A2ONg0
European Club Soccer,1992,https://www.youtube.com/watch?v=lrWY-J2E7-8
Ecco the Dolphin,1992,https://www.youtube.com/watch?v=BcfAwgPhMko
Ecco : The Tides of Time,1994,https://www.youtube.com/watch?v=32S2oJuANxo
Banjo-Kazooie,1998,https://www.youtube.com/watch?v=pPUn5biib1c
Banjo-Tooie,2000,https://www.youtube.com/watch?v=owbVtwrO_TQ
Burning Rangers,1998,https://www.youtube.com/watch?v=qrYuhfeXpS8
Guardian Heroes,1996,https://www.youtube.com/watch?v=VtY51tYZq1s
Shining Force III,1997,https://www.youtube.com/watch?v=2yXWSucahc0
Shining Force III : Scenario 2,1998,https://www.youtube.com/watch?v=JcIpzbafCTQ
Shining Force III : Scenario 3,1998,https://www.youtube.com/watch?v=o4FNQDJQpMU
Shining the Holy Ark,1996,https://www.youtube.com/watch?v=oxBj9ejNuE8
Shining Wisdom,1995,https://www.youtube.com/watch?v=eogkx1aWij4
Dragon Force,1996,https://www.youtube.com/watch?v=1YJo6M-F720
Dragon Force II,1998,http://downloads.khinsider.com/game-soundtracks/album/dragon-force-2-original-soundtrack/54-ending-theme.mp3
Final Fantasy Legend,1989,https://www.youtube.com/watch?v=_sn4OQGFLR4
Final Fantasy Legend II,1990,https://www.youtube.com/watch?v=ZneMKt58A88
Final Fantasy Legend III,1991,https://www.youtube.com/watch?v=E7-Aeaq7Jo8
SaGa Frontier 2,1999,https://www.youtube.com/watch?v=FoxQd4EDTOI
SaGa Frontier,1997,https://www.youtube.com/watch?v=Xth1xHOJXBA
Backgammon,1990,https://www.youtube.com/watch?v=CP7XRFPWXKs
Akagawa Jirou no Yuurei Ressha,1991,https://www.youtube.com/watch?v=BuhMhF9Pj_w
Jesus 2,1991,https://www.youtube.com/watch?v=vFDwMwKeAU4
Hanjuku Hero: Aa- Sekaiyo Hanjukunare...!,1992,https://www.youtube.com/watch?v=NqQjKEZfhWg
Super Tetris 2 + Bombliss,1992,https://www.youtube.com/watch?v=ShYQDhoRnuw
