Source,Date,Link
Little Nemo: The Dream Master,1990,https://www.youtube.com/watch?v=BMfndWqYseE
Pocky & Rocky,1992,https://www.youtube.com/watch?v=QM98Wx9eG_U
Pocky & Rocky 2,1994,https://www.youtube.com/watch?v=0lhyrkvy9rE
Ys : Book I & II,1989,http://www.youtube.com/watch?v=-glsntzU0Q4
Ys III : Wanderers from Ys,1990,http://www.youtube.com/watch?v=BlheABMmKTw
Ys IV : The Dawn of Ys,1993,http://www.youtube.com/watch?v=LFrdFziT1tQ
Warsong,1991,http://www.youtube.com/watch?v=pBMYnjWBpIM
Langrisser II,1994,https://www.youtube.com/watch?v=JvkCRCJyrus
Legacy of Kain : Blood Omen,1996,http://www.youtube.com/watch?v=IdqpUsDhyGU
Midnight Resistance,1990,https://www.youtube.com/watch?v=luTlm7Pc1Ko
Diablo,1996,http://www.youtube.com/watch?v=ET7OEgRgwPU
Gley Lancer,1992,http://www.youtube.com/watch?v=aWSYuBYpKFc
Herzog Zwei,1989,http://www.youtube.com/watch?v=C_z2hdgLAto
Thunder Force II,1989,http://www.youtube.com/watch?v=oIqxYhSW74U
Thunder Force III,1990,http://www.youtube.com/watch?v=WcWRpJJLtpY
Thunder Force IV,1992,http://www.youtube.com/watch?v=XKvKOx4uIPg
Dragon's Fury,1991,http://www.youtube.com/watch?v=gwnLg9Ufz_U
Starflight,1986,http://www.youtube.com/watch?v=p0XZdjiMyY4
Last Battle,1989,http://www.youtube.com/watch?v=Hf_OUy1XP-k
Sonic the Hedgehog,1991,http://www.youtube.com/watch?v=NoVY7nvcel0
Sonic the Hedgehog 2,1992,http://www.youtube.com/watch?v=nhHa7ph5GLg
Sonic the Hedgehog Spinball,1993,https://www.youtube.com/watch?v=jZDrOSDskis
Sonic CD,1993,http://www.youtube.com/watch?v=BTYbsrp4FMI
Sonic 3,1994,http://www.youtube.com/watch?v=hYxlqTpZ-24
Sonic & Knuckles,1994,http://www.youtube.com/watch?v=oNXBpzDp1K8
Sonic 3D Flickies' Island,1997,http://www.youtube.com/watch?v=zIjmwkSrIQw
Castle of Illusion starring Mickey Mouse,1990,http://www.youtube.com/watch?v=MZ_uMTcs49A
QuackShot starring Donald Duck,1991,http://www.youtube.com/watch?v=aKmnENQmwrk
World of Illusion starring Mickey Mouse and Donald Duck,1992,http://www.youtube.com/watch?v=Hy2KhrdXs0w
Aladdin,1993,http://www.youtube.com/watch?v=dNYn0H-CePY
Le Roi lion,1994,https://www.youtube.com/watch?v=VmTJ2j6B6Bc
The Legend of Zelda,1986,http://www.youtube.com/watch?v=lpEzYEoV9qY
The Legend of Zelda : A Link to the Past,1991,http://www.youtube.com/watch?v=JVsaNbPuvRI
The Legend of Zelda : Link's Awakening DX,1998,http://www.youtube.com/watch?v=FTrumdi55tA
The Legend of Zelda : Ocarina of Time,1998,http://www.youtube.com/watch?v=Hy0aEj85ifY
The Legend of Zelda : Majora's Mask,2000,http://www.youtube.com/watch?v=XDX4ZwUeOok
Space Harrier,1985,http://www.youtube.com/watch?v=-_Tam9lv1KQ
OutRun,1986,http://www.youtube.com/watch?v=S7miBTOaa6M
Galaxy Force II,1988,http://www.youtube.com/watch?v=tnCEMAnkXrw
After Burner,1987,http://www.youtube.com/watch?v=WN0AkMUN8SY
After Burner II,1990,http://www.youtube.com/watch?v=U4q7uHdURTo
Hang-On,1985,http://www.youtube.com/watch?v=KYzpnJ4uLrs
Super Hang-On,1987,https://www.youtube.com/watch?v=S6SeFTfAgE4
Power Drift,1988,http://www.youtube.com/watch?v=exf1ddmxosc
Splatterhouse 2,1992,http://www.youtube.com/watch?v=Dz4dm7bdTUQ
Rocket Knight Adventures,1993,http://www.youtube.com/watch?v=x1Hb8JVP1lU
Strider,1989,https://www.youtube.com/watch?v=60BQOGz2C_w
Final Fight,1989,https://www.youtube.com/watch?v=AeojmdpblUo
Street Fighter II,1992,http://www.youtube.com/watch?v=-14W5XTqL5U
Street Fighter II Turbo : Hyper Fighting,1993,https://www.youtube.com/watch?v=CGsLkosT6HI
Super Street Fighter II,1993,http://www.youtube.com/watch?v=w73Ug-RYIBg
Super Street Fighter II Turbo,1994,https://www.youtube.com/watch?v=vlz6qgahnYQ
Street Fighter Alpha : Warriors' Dreams,1995,https://www.youtube.com/watch?v=w1sfGE3EUnM
Street Fighter Alpha 2,1996,https://www.youtube.com/watch?v=BdWh3jgSER4
Street Fighter Ex Plus Alpha,1997,https://www.youtube.com/watch?v=XpgCk-1VA2Y
Darkstalkers : The Night Warriors,1994,https://www.youtube.com/watch?v=dtf0AHf_bkQ
Night Warriors : Darkstalkers' Revenge,1995,https://www.youtube.com/watch?v=EdN9nis9-Vc
Darkstalkers 3,1998,https://www.youtube.com/watch?v=cNfhRjK9TbU
Captain Commando,1991,http://www.youtube.com/watch?v=orcrbhbShKc
Dungeons & Dragons : Tower of Doom,1993,http://www.youtube.com/watch?v=kVXLqrE1Z1U
Dungeons & Dragons : Shadow over Mystara,1996,http://www.youtube.com/watch?v=CNTJJlWxmho
Alien vs. Predator,1994,http://www.youtube.com/watch?v=Qcggoj9E5_g
Guilty Gear,1998,https://www.youtube.com/watch?v=01IEjvD5lss
Dragon Ball Z,1993,https://www.youtube.com/watch?v=dvI4bxELsZI
Dragon Ball Z : La Légende Saien,1993,http://www.youtube.com/watch?v=jqIOeokp3bc
Dragon Ball Z : L'Appel du destin,1994,https://www.youtube.com/watch?v=YXPk4NWwU9I
Dragon Ball Z 3 : Ultime Menace,1994,https://www.youtube.com/watch?v=9ALkgl7DIm0
Dragon Ball Z : Ultimate Battle 22,1995,https://www.youtube.com/watch?v=QzB3M0em_zQ
Dragon Ball Z : Hyper Dimension,1996,https://www.youtube.com/watch?v=yhgkwb1TZKU
Dragon Ball Final Bout,1997,https://www.youtube.com/watch?v=FdYq2VSgDL0
Metroid,1986,https://www.youtube.com/watch?v=_UGKCvIrF_o
Super Metroid,1994,http://www.youtube.com/watch?v=5lD3E2w_ows
Metal Gear Solid,1998,http://www.youtube.com/watch?v=rad3r9sjVSM
Alisia Dragoon,1992,http://www.youtube.com/watch?v=DBm2_IWK8gw
The Legend of Galahad,1992,http://www.youtube.com/watch?v=2ONhlkc82c8
Pokémon Rouge,1996,http://www.youtube.com/watch?v=cOWRNLaCMJg
Doom,1993,http://www.youtube.com/watch?v=BSsfjHCFosw
Castlevania,1986,http://www.youtube.com/watch?v=i47a0F0qCYg
Haunted Castle,1988,https://www.youtube.com/watch?v=F3qDFiydVZs
Castlevania II : Simon's Quest,1987,http://www.youtube.com/watch?v=EjazC45Qkww
Castlevania III : Dracula's Curse,1989,https://www.youtube.com/watch?v=C0d3r5UCzRE
Castlevania : The Adventure,1989,https://www.youtube.com/watch?v=3c_4o2Oadiw
Castlevania Chronicles,2001,https://www.youtube.com/watch?v=GGkDRs3nuYo
Super Castlevania IV,1991,http://www.youtube.com/watch?v=LlpbSG1UF_Q
Castlevania : The New Generation,1994,http://www.youtube.com/watch?v=RMJKFbMqclY
Castlevania : Rondo of Blood,1993,http://www.youtube.com/watch?v=vlayiIBH75o
Castlevania : Vampire's Kiss,1995,https://www.youtube.com/watch?v=5lmNH8bPhDs
Castlevania Legends,1997,https://www.youtube.com/watch?v=7XvaVG-Geuk
Castlevania : Symphony of the Night,1997,https://www.youtube.com/watch?v=tXc8kLOwcik
Teenage Mutant Hero Turtles IV : Turtles in Time,1992,http://www.youtube.com/watch?v=ftggfe9IpNQ
Sunset Riders,1993,https://www.youtube.com/watch?v=bQK9LkDn5Gghttps://www.youtube.com/watch?v=6r4YT2R7qaI
LandStalker,1992,http://www.youtube.com/watch?v=C1bGAb5sUVs
Soleil,1994,http://www.youtube.com/watch?v=36R6AWePHYg
La Légende de Thor,1994,http://www.youtube.com/watch?v=9fKPt-FCMzw
Master of Monsters,1991,http://www.youtube.com/watch?v=uH-Q5Yc2Jfk
Skyblazer,1994,http://www.youtube.com/watch?v=Ib5IrJfESLI
Conker's Bad Fur Day,2001,http://www.youtube.com/watch?v=0w5neFPat1w
Lufia & the Fortress of Doom,1993,https://www.youtube.com/watch?v=GzBsFGh6zoc
Lufia II : Rise of the Sinistrals,1995,http://www.youtube.com/watch?v=RBnYGYa6l3M
F-Zero,1990,http://www.youtube.com/watch?v=AjRKNzKzVmo
Super Mario Bros.,1985,https://www.youtube.com/watch?v=5uxteLFHYRc
Super Mario Bros. 2,1988,http://www.youtube.com/watch?v=j9s4fuOL3FM
Super Mario Bros. 3,1988,https://www.youtube.com/watch?v=UnUFE9nQRlE
Super Mario World,1990,http://www.youtube.com/watch?v=B3W48GKDNQc
Super Mario World 2 : Yoshi's Island,1995,https://www.youtube.com/watch?v=d7bmXBT22PI
Super Mario 64,1996,https://www.youtube.com/watch?v=LpOP0L3A7_Q
Super Mario Kart,1992,http://www.youtube.com/watch?v=GolvMA4ZBTs
Mario Kart 64,1996,https://www.youtube.com/watch?v=K5xdue7GFcc
Kirby's Adventure,1993,http://www.youtube.com/watch?v=-XoWiv4xf1U
Kirby 64 : The Crystal Shards,2000,https://www.youtube.com/watch?v=Htr6L0_I0yc
Warcraft II : Tides of Darkness,1995,http://www.youtube.com/watch?v=969FBiYlaU8
Journey to Silius,1990,http://www.youtube.com/watch?v=F6sjYt6EJVw
Psycho Soldier,1986,http://www.youtube.com/watch?v=n9iAO1MsQAI
Rolling Thunder,1986,http://www.youtube.com/watch?v=jQ5aARBuh2o
Truxton,1989,http://www.youtube.com/watch?v=HjuWpzKt5QQ
Out Zone,1990,https://www.youtube.com/watch?v=WHWq80sjYQc
Hellfire,1990,https://www.youtube.com/watch?v=EXtAKsvEEVU
Rayforce,1993,https://www.youtube.com/watch?v=Z30Zr9M-rhE
RayStorm,1996,http://www.youtube.com/watch?v=n8AvuRYGoaY
Elvira: Mistress of the Dark,1990,http://www.youtube.com/watch?v=2GjbhI7MkqU
Elvira II: The Jaws of Cerberus,1992,https://www.youtube.com/watch?v=YrO3qN8OAEE
Wing Commander III : Heart of the Tiger,1994,http://www.youtube.com/watch?v=vv3qwuk2kr8
Wing Commander IV : Le Prix de la liberté,1996,http://www.youtube.com/watch?v=A2SdzTYVeSs
Earthbound Beginnings,1989,https://www.youtube.com/watch?v=QYqDCPg7GPE
EarthBound,1994,http://www.youtube.com/watch?v=mjDooY1zye8
Super Mario RPG : Legend of the Seven Stars,1996,https://www.youtube.com/watch?v=1qtWfsPKnF4
Kid Chameleon,1992,http://www.youtube.com/watch?v=PpI89Uh7vzE
Wonder Boy in Monster Land,1987,http://www.youtube.com/watch?v=o2hVLvweBCU
Wonder Boy III : The Dragon's Trap,1989,http://www.youtube.com/watch?v=uw33uSesViU
Wonder Boy in Monster World,1991,https://www.youtube.com/watch?v=CmIVQmgxMWU
Monster World IV,1994,http://www.youtube.com/watch?v=kO6xWJSmpPk
Gunstar Heroes,1993,http://www.youtube.com/watch?v=llYE6sdemjs
Alien Soldier,1995,https://www.youtube.com/watch?v=LEi0YPpttf0
Radiant Silvergun,1998,http://www.youtube.com/watch?v=WUp2P5cDNJE
Comix Zone,1995,http://www.youtube.com/watch?v=ZAyRic3ZW0Y
Ghosts'n Goblins,1985,http://www.youtube.com/watch?v=b694Bp2Zq0M
Ghouls'n Ghosts,1989,http://www.youtube.com/watch?v=gwPNlfCFXRk
Super Ghouls'n Ghosts,1991,http://www.youtube.com/watch?v=4URokdL-dfM
Captain Tsubasa,1988,https://www.youtube.com/watch?v=0V5BlIwRtWo
Captain Tsubasa II: Super Striker,1990,http://www.youtube.com/watch?v=aUHWPuc0250
Captain Tsubasa III,1992,http://www.youtube.com/watch?v=0v-kBuS9T-Y
Captain Tsubasa IV : Pro no Rival Tachi,1993,https://www.youtube.com/watch?v=vLeIgThSy3Y
Captain Tsubasa V: Hasha no Shougou Campione,1994,https://www.youtube.com/watch?v=XIAe78nVsew
The King of Fighters '94,1994,http://www.youtube.com/watch?v=MCYgBXbefYI
The King of Fighters '95,1995,http://www.youtube.com/watch?v=KZtr58qIg4Y
The King of Fighters '96,1996,http://www.youtube.com/watch?v=6hi6_jguKwU
The King of Fighters '97,1997,http://www.youtube.com/watch?v=fqd8Xmjis8c
The King of Fighters '98,1998,http://www.youtube.com/watch?v=uTRsCJ8kweI
Samurai Shodown II,1994,http://www.youtube.com/watch?v=dH60UcS2w9Q
Samurai Shodown IV : Amakusa's Revenge,1996,http://www.youtube.com/watch?v=Oba__RkoiAI
The Last Blade 2,1998,http://www.youtube.com/watch?v=tcMya2Rftus
Metal Slug : Super Vehicle-001,1996,https://www.youtube.com/watch?v=6_Bqxs1-9eE
Metal Slug 2,1998,https://www.youtube.com/watch?v=uNqKBiY6qCA
Metal Slug 3,2000,https://www.youtube.com/watch?v=1rV7Oj5BP18
Magician Lord,1990,https://www.youtube.com/watch?v=GuVa8pWY5Ks
Last Resort,1992,https://www.youtube.com/watch?v=6nS6RcCjnW4
Blazing Star,1998,https://www.youtube.com/watch?v=13cCMNZstQE
Rayman,1995,http://www.youtube.com/watch?v=qwaJHh5U_YY
Valis: The Fantasm Soldier,1986,http://www.youtube.com/watch?v=ofcUfDALHDQ
Valis II,1989,http://www.youtube.com/watch?v=HhEogl0xkpk
Valis III,1990,http://www.youtube.com/watch?v=mxnGcBzN-8s
Super Valis IV,1992,http://www.youtube.com/watch?v=hB257cMJGc4
Valis IV,1991,https://www.youtube.com/watch?v=lL93qU1Sf7
El Viento,1991,https://www.youtube.com/watch?v=bKqHgRfGSGw
Arcus Odyssey,1991,https://www.youtube.com/watch?v=_3Nji4minSU
Alcahest,1993,http://www.youtube.com/watch?v=qCjiTpqjfKM
The Terminator,1992,http://www.youtube.com/watch?v=UZy4B5OAoUU&
Rival Turf,1992,http://www.youtube.com/watch?v=tEOh-MP0Zhg
Super Adventure Island,1992,http://www.youtube.com/watch?v=-EHLnIA6Xso
Sorcerian,1987,http://www.youtube.com/watch?v=UYTjsP5Cljg
